0 1000 3 1 1 2 1 3 1
1 1102 4 0 1 2 1 3 1 4 2
2 1205 4 0 1 1 1 3 1 8 2
3 1307 4 0 1 1 1 2 1 12 2
4 1010 4 1 2 5 1 6 1 7 1
5 1112 4 16 3 4 1 6 1 7 1
6 1215 4 9 2 4 1 5 1 7 1
7 1317 4 13 2 4 1 5 1 6 1
8 1020 4 2 2 9 1 10 1 11 1
9 1123 4 8 1 10 1 11 1 6 2
10 1225 4 8 1 9 1 32 3 11 1
11 1328 4 8 1 9 1 10 1 14 2
12 1030 4 3 2 13 1 14 1 15 1
13 1133 4 12 1 7 2 14 1 15 1
14 1235 4 11 2 12 1 13 1 15 1
15 1338 4 48 3 12 1 13 1 14 1
16 1001 4 17 1 18 1 19 1 5 3
17 1103 4 16 1 18 1 19 1 20 2
18 1206 4 16 1 17 1 19 1 24 2
19 1308 4 16 1 17 1 18 1 28 2
20 1011 4 17 2 21 1 22 1 23 1
21 1113 3 20 1 22 1 23 1
22 1216 4 25 2 20 1 21 1 23 1
23 1318 4 29 2 20 1 21 1 22 1
24 1021 4 18 2 25 1 26 1 27 1
25 1124 4 24 1 26 1 27 1 22 2
26 1226 4 24 1 25 1 27 1 37 3
27 1329 4 24 1 25 1 26 1 30 2
28 1031 4 19 2 29 1 30 1 31 1
29 1134 4 28 1 23 2 30 1 31 1
30 1236 4 27 2 28 1 29 1 31 1
31 1339 4 53 3 28 1 29 1 30 1
32 1002 4 33 1 10 3 35 1 34 1
33 1104 4 32 1 34 1 35 1 36 2
34 1207 4 32 1 33 1 40 2 35 1
35 1309 4 32 1 33 1 34 1 44 2
36 1012 4 33 2 37 1 38 1 39 1
37 1114 4 26 3 36 1 38 1 39 1
38 1217 4 41 2 36 1 37 1 39 1
39 1319 4 45 2 36 1 37 1 38 1
40 1022 4 41 1 42 1 43 1 34 2
41 1125 4 40 1 42 1 43 1 38 2
42 1227 3 40 1 41 1 43 1
43 1330 4 40 1 41 1 42 1 46 2
44 1032 4 35 2 45 1 46 1 47 1
45 1135 4 44 1 39 2 46 1 47 1
46 1237 4 43 2 44 1 45 1 47 1
47 1340 4 58 3 44 1 45 1 46 1
48 1003 4 49 1 50 1 51 1 15 3
49 1105 4 48 1 50 1 51 1 52 2
50 1208 4 48 1 49 1 56 2 51 1
51 1310 4 48 1 49 1 50 1 60 2
52 1013 4 49 2 53 1 54 1 55 1
53 1115 4 52 1 55 1 54 1 31 3
54 1218 4 57 2 52 1 53 1 55 1
55 1320 4 61 2 52 1 53 1 54 1
56 1023 4 57 1 58 1 59 1 50 2
57 1126 4 56 1 58 1 59 1 54 2
58 1228 4 56 1 57 1 59 1 47 3
59 1331 4 56 1 57 1 58 1 62 2
60 1033 4 51 2 61 1 62 1 63 1
61 1136 4 60 1 55 2 62 1 63 1
62 1238 4 59 2 60 1 61 1 63 1
63 1341 3 60 1 61 1 62 1
