0 100 9 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1
1 110 10 0 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 10 2
2 120 10 0 1 1 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1 20 2
3 130 10 0 1 1 1 2 1 4 1 5 1 6 1 7 1 8 1 9 1 30 2
4 140 10 0 1 1 1 2 1 3 1 5 1 6 1 7 1 8 1 9 1 40 2
5 150 10 0 1 1 1 2 1 3 1 4 1 6 1 7 1 8 1 9 1 50 2
6 160 10 0 1 1 1 2 1 3 1 4 1 5 1 7 1 8 1 9 1 60 2
7 170 10 0 1 1 1 2 1 3 1 4 1 5 1 6 1 70 2 8 1 9 1
8 180 10 0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 9 1 80 2
9 190 10 0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 90 2
10 101 10 1 2 11 1 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1
11 111 9 10 1 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1
12 121 10 10 1 11 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1 21 2
13 131 10 10 1 11 1 12 1 14 1 15 1 16 1 17 1 18 1 19 1 31 2
14 141 10 41 2 10 1 11 1 12 1 13 1 15 1 16 1 17 1 18 1 19 1
15 151 10 10 1 11 1 12 1 13 1 14 1 16 1 17 1 18 1 19 1 51 2
16 161 10 10 1 11 1 12 1 13 1 14 1 15 1 17 1 18 1 19 1 61 2
17 171 10 71 2 10 1 11 1 12 1 13 1 14 1 15 1 16 1 18 1 19 1
18 181 10 10 1 11 1 12 1 13 1 14 1 15 1 16 1 17 1 81 2 19 1
19 191 10 10 1 11 1 12 1 13 1 14 1 15 1 16 1 17 1 18 1 91 2
20 102 10 2 2 21 1 22 1 23 1 24 1 25 1 26 1 27 1 28 1 29 1
21 112 10 12 2 20 1 22 1 23 1 24 1 25 1 26 1 27 1 28 1 29 1
22 122 9 20 1 21 1 23 1 24 1 25 1 26 1 27 1 28 1 29 1
23 132 10 32 2 20 1 21 1 22 1 24 1 25 1 26 1 27 1 28 1 29 1
24 142 10 42 2 20 1 21 1 22 1 23 1 25 1 26 1 27 1 28 1 29 1
25 152 10 20 1 21 1 22 1 23 1 24 1 52 2 26 1 27 1 28 1 29 1
26 162 10 20 1 21 1 22 1 23 1 24 1 25 1 27 1 28 1 29 1 62 2
27 172 10 72 2 20 1 21 1 22 1 23 1 24 1 25 1 26 1 28 1 29 1
28 182 10 82 2 20 1 21 1 22 1 23 1 24 1 25 1 26 1 27 1 29 1
29 192 10 92 2 20 1 21 1 22 1 23 1 24 1 25 1 26 1 27 1 28 1
30 103 10 32 1 33 1 34 1 35 1 36 1 37 1 38 1 39 1 3 2 31 1
